#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	pfam_name	pfam_acc	pfam_desc	Taxonomy
metaerg.pl|01627	NODE_39_length_15113_cov_8.47012	9997	11277	1281	-1	No	0	Terminase_6	PF03237	"Terminase-like family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_O;s__Lactobacillus_O satsumensis
metaerg.pl|01627	NODE_39_length_15113_cov_8.47012	9997	11277	1281	-1	No	0	Terminase_6C	PF17289	"Terminase RNaseH-like domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_O;s__Lactobacillus_O satsumensis
metaerg.pl|01628	NODE_39_length_15113_cov_8.47012	11261	11935	675	-1	No	0	HTH_23	PF13384	"Homeodomain-like domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_K;s__Lactobacillus_K allii
metaerg.pl|01628	NODE_39_length_15113_cov_8.47012	11261	11935	675	-1	No	0	HTH_Tnp_1	PF01527	"Transposase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_K;s__Lactobacillus_K allii
metaerg.pl|01629	NODE_39_length_15113_cov_8.47012	11980	12462	483	-1	No	0	QueT	PF06177	"QueT transporter"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_O;s__Lactobacillus_O satsumensis
metaerg.pl|01631	NODE_39_length_15113_cov_8.47012	13190	13795	606	-1	No	0	ParBc	PF02195	"ParB-like nuclease domain"	unknow
metaerg.pl|01633	NODE_39_length_15113_cov_8.47012	14139	14588	450	-1	No	0	HTH_3	PF01381	"Helix-turn-helix"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H mucosae
metaerg.pl|01636	NODE_40_length_14773_cov_10.7007	889	1455	567	-1	No	0	Phage_GP20	PF06810	"Phage minor structural protein GP20"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|01637	NODE_40_length_14773_cov_10.7007	1579	2604	1026	-1	No	0	Phage_Mu_F	PF04233	"Phage Mu protein F like protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|01638	NODE_40_length_14773_cov_10.7007	2582	4018	1437	-1	No	0	Phage_prot_Gp6	PF05133	"Phage portal protein, SPP1 Gp6-like"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|01639	NODE_40_length_14773_cov_10.7007	4009	5259	1251	-1	No	0	Terminase_3	PF04466	"Phage terminase large subunit"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|01639	NODE_40_length_14773_cov_10.7007	4009	5259	1251	-1	No	0	Terminase_3C	PF17288	"Terminase RNAseH like domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|01640	NODE_40_length_14773_cov_10.7007	5243	6085	843	-1	No	0	HTH_23	PF13384	"Homeodomain-like domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|01640	NODE_40_length_14773_cov_10.7007	5243	6085	843	-1	No	0	Terminase_2	PF03592	"Terminase small subunit "	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|01640	NODE_40_length_14773_cov_10.7007	5243	6085	843	-1	No	0	Terminase_5	PF06056	"Putative ATPase subunit of terminase (gpP-like)"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|01646	NODE_40_length_14773_cov_10.7007	8586	9095	510	-1	No	0	RusA	PF05866	"Endodeoxyribonuclease RusA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp000760615
metaerg.pl|01649	NODE_40_length_14773_cov_10.7007	10028	10507	480	-1	No	0	SSB	PF00436	"Single-strand binding protein family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus hamsteri
metaerg.pl|01656	NODE_40_length_14773_cov_10.7007	12583	13050	468	-1	No	0	Methyltransf_11	PF08241	"Methyltransferase domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp000760615
metaerg.pl|01658	NODE_40_length_14773_cov_10.7007	14037	14723	687	-1	No	0	HTH_11	PF08279	"HTH domain"	unknow
metaerg.pl|01658	NODE_40_length_14773_cov_10.7007	14037	14723	687	-1	No	0	HTH_19	PF12844	"Helix-turn-helix domain"	unknow
metaerg.pl|01658	NODE_40_length_14773_cov_10.7007	14037	14723	687	-1	No	0	HTH_26	PF13443	"Cro/C1-type HTH DNA-binding domain"	unknow
metaerg.pl|01658	NODE_40_length_14773_cov_10.7007	14037	14723	687	-1	No	0	HTH_3	PF01381	"Helix-turn-helix"	unknow
metaerg.pl|01658	NODE_40_length_14773_cov_10.7007	14037	14723	687	-1	No	0	HTH_31	PF13560	"Helix-turn-helix domain"	unknow
metaerg.pl|01662	NODE_41_length_14766_cov_21.3316	1545	1769	225	1	No	0	zf-FCS	PF06467	"MYM-type Zinc finger with FCS sequence motif"	unknow
metaerg.pl|01664	NODE_41_length_14766_cov_21.3316	2725	3390	666	1	No	0	LysM	PF01476	"LysM domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis
metaerg.pl|01665	NODE_41_length_14766_cov_21.3316	3526	4188	663	1	No	0	TK	PF00265	"Thymidine kinase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae;g__Holospora;s__Holospora obtusa
metaerg.pl|01666	NODE_41_length_14766_cov_21.3316	4178	4705	528	1	No	0	PgpA	PF04608	"Phosphatidylglycerophosphatase A"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Siphoviridae;no__unclassified Siphoviridae;s__Lactobacillus phage Ldl1;
metaerg.pl|01668	NODE_41_length_14766_cov_21.3316	5175	5837	663	1	No	0	Phage_holin_6_1	PF09682	"Bacteriophage holin of superfamily 6 (Holin_LLH)"	unknow
metaerg.pl|01669	NODE_41_length_14766_cov_21.3316	5840	6964	1125	1	No	0	Glyco_hydro_25	PF01183	"Glycosyl hydrolases family 25"	unknow
metaerg.pl|01670	NODE_41_length_14766_cov_21.3316	7058	7537	480	1	No	0	Nuc_deoxyrib_tr	PF05014	"Nucleoside 2-deoxyribosyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kimbladii
metaerg.pl|01672	NODE_41_length_14766_cov_21.3316	8001	8819	819	1	No	0	P-mevalo_kinase	PF04275	"Phosphomevalonate kinase"	unknow
metaerg.pl|01683	NODE_41_length_14766_cov_21.3316	10779	11261	483	1	No	0	ASCH	PF04266	"ASCH domain"	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A timonensis
metaerg.pl|01688	NODE_42_length_14622_cov_8.77717	3	299	297	-1	No	0	SspB	PF04386	"Stringent starvation protein B"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01689	NODE_42_length_14622_cov_8.77717	909	1217	309	1	No	0	DUF2853	PF11015	"Protein of unknown function (DUF2853)"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01690	NODE_42_length_14622_cov_8.77717	1283	2638	1356	-1	No	0	SDF	PF00375	"Sodium:dicarboxylate symporter family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01691	NODE_42_length_14622_cov_8.77717	3203	3601	399	-1	No	0	SpoIIAA-like	PF11964	"SpoIIAA-like"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|01692	NODE_42_length_14622_cov_8.77717	3699	4433	735	1	No	0	PdxJ	PF03740	"Pyridoxal phosphate biosynthesis protein PdxJ"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01693	NODE_42_length_14622_cov_8.77717	4548	6473	1926	1	No	0	K_trans	PF02705	"K+ potassium transporter"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|01694	NODE_42_length_14622_cov_8.77717	6631	7320	690	1	No	0	TetR_C_7	PF14246	"AefR-like transcriptional repressor, C-terminal domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01694	NODE_42_length_14622_cov_8.77717	6631	7320	690	1	No	0	TetR_N	PF00440	"Bacterial regulatory proteins, tetR family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01695	NODE_42_length_14622_cov_8.77717	7349	8368	1020	1	No	0	AdoHcyase_NAD	PF00670	"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01695	NODE_42_length_14622_cov_8.77717	7349	8368	1020	1	No	0	IlvC	PF01450	"Acetohydroxy acid isomeroreductase, catalytic domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01695	NODE_42_length_14622_cov_8.77717	7349	8368	1020	1	No	0	IlvN	PF07991	"Acetohydroxy acid isomeroreductase, NADPH-binding domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01696	NODE_42_length_14622_cov_8.77717	8679	9020	342	-1	No	0	BA14K	PF07886	"BA14K-like protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01697	NODE_42_length_14622_cov_8.77717	9567	10490	924	1	No	0	PhzC-PhzF	PF02567	"Phenazine biosynthesis-like protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|01698	NODE_42_length_14622_cov_8.77717	11069	12367	1299	-1	No	0	MFS_1	PF07690	"Major Facilitator Superfamily"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella alvi
metaerg.pl|01699	NODE_42_length_14622_cov_8.77717	12507	13370	864	1	No	0	HTH_1	PF00126	"Bacterial regulatory helix-turn-helix protein, lysR family"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella alvi
metaerg.pl|01699	NODE_42_length_14622_cov_8.77717	12507	13370	864	1	No	0	LysR_substrate	PF03466	"LysR substrate binding domain"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella alvi
metaerg.pl|01701	NODE_43_length_14456_cov_23.2566	2	955	954	-1	No	0	Phage_fiber_2	PF03406	"Phage tail fibre repeat"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Frischella;s__Frischella perrara
metaerg.pl|01702	NODE_43_length_14456_cov_23.2566	946	1608	663	-1	No	0	DUF2612	PF11041	"Protein of unknown function (DUF2612)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Frischella;s__Frischella perrara
metaerg.pl|01703	NODE_43_length_14456_cov_23.2566	1601	2719	1119	-1	No	0	Baseplate_J	PF04865	"Baseplate J-like protein"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Frischella;s__Frischella perrara
metaerg.pl|01705	NODE_43_length_14456_cov_23.2566	3055	3729	675	-1	No	0	Gp138_N	PF18352	"Phage protein Gp138 N-terminal domain"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Frischella;s__Frischella perrara
metaerg.pl|01706	NODE_43_length_14456_cov_23.2566	3809	4513	705	-1	No	0	tRNA_anti-like	PF12869	"tRNA_anti-like"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apis_A
metaerg.pl|01711	NODE_43_length_14456_cov_23.2566	8366	8782	417	-1	No	0	Phage_TAC_9	PF10876	"Phage tail assemb.y chaperone protein, TAC"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Frischella;s__Frischella perrara
metaerg.pl|01712	NODE_43_length_14456_cov_23.2566	8782	9213	432	-1	No	0	DUF3277	PF11681	"Protein of unknown function (DUF3277)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Frischella;s__Frischella perrara
metaerg.pl|01713	NODE_43_length_14456_cov_23.2566	9223	10734	1512	-1	No	0	DUF3383	PF11863	"Protein of unknown function (DUF3383)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Frischella;s__Frischella perrara
metaerg.pl|01717	NODE_43_length_14456_cov_23.2566	11936	12325	390	-1	No	0	DUF4054	PF13262	"Protein of unknown function (DUF4054)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215
metaerg.pl|01718	NODE_43_length_14456_cov_23.2566	12328	13362	1035	-1	No	0	DUF2184	PF09950	"Uncharacterized protein conserved in bacteria (DUF2184)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215
metaerg.pl|01721	NODE_44_length_14279_cov_80.175	3	1091	1089	1	No	0	Helicase_C	PF00271	"Helicase conserved C-terminal domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Kayvirus;s__Staphylococcus virus K;
metaerg.pl|01723	NODE_44_length_14279_cov_80.175	2111	3646	1536	1	No	0	DnaB_C	PF03796	"DnaB-like helicase C terminal domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|01723	NODE_44_length_14279_cov_80.175	2111	3646	1536	1	No	0	Rad51	PF08423	"Rad51"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|01724	NODE_44_length_14279_cov_80.175	3907	5016	1110	1	No	0	Metallophos	PF00149	"Calcineurin-like phosphoesterase"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|01725	NODE_44_length_14279_cov_80.175	5018	6901	1884	1	No	0	AAA_23	PF13476	"AAA domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|01725	NODE_44_length_14279_cov_80.175	5018	6901	1884	1	No	0	Rad50_zn_hook	PF04423	"Rad50 zinc hook motif"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|01733	NODE_44_length_14279_cov_80.175	11665	11982	318	1	No	0	Bac_DNA_binding	PF00216	"Bacterial DNA-binding protein"	unknow
metaerg.pl|01734	NODE_44_length_14279_cov_80.175	12047	14257	2211	1	No	0	DNA_pol_A	PF00476	"DNA polymerase family A"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|01734	NODE_44_length_14279_cov_80.175	12047	14257	2211	1	No	0	DNA_pol_A_exo1	PF01612	"3'-5' exonuclease"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|01738	NODE_45_length_13553_cov_362.865	2565	3605	1041	1	No	0	Peptidase_S74	PF13884	"Chaperone of endosialidase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter sp003202795
metaerg.pl|01740	NODE_45_length_13553_cov_362.865	4002	5372	1371	1	No	0	CotH	PF08757	"CotH kinase protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter sp003202795
metaerg.pl|01746	NODE_45_length_13553_cov_362.865	8236	10989	2754	1	No	0	N6_Mtase	PF02384	"N-6 DNA Methylase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter sp003202795
metaerg.pl|01746	NODE_45_length_13553_cov_362.865	8236	10989	2754	1	No	0	Type_ISP_C	PF18135	"Type ISP C-terminal specificity domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter sp003202795
metaerg.pl|01747	NODE_45_length_13553_cov_362.865	11116	11865	750	1	No	0	AAA	PF00004	"ATPase family associated with various cellular activities (AAA)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__GCA-2701845;s__GCA-2701845 sp002701845
metaerg.pl|01748	NODE_45_length_13553_cov_362.865	11876	12937	1062	1	No	0	DNA_methylase	PF00145	"C-5 cytosine-specific DNA methylase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter sp003202795
metaerg.pl|01751	NODE_46_length_13546_cov_11.7735	1	1371	1371	-1	No	0	DUF935	PF06074	"Protein of unknown function (DUF935)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01755	NODE_46_length_13546_cov_11.7735	3450	3950	501	-1	No	0	DUF1804	PF08822	"Protein of unknown function (DUF1804)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01760	NODE_46_length_13546_cov_11.7735	5271	5744	474	-1	No	0	Amidase_2	PF01510	"N-acetylmuramoyl-L-alanine amidase"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01761	NODE_46_length_13546_cov_11.7735	5828	6277	450	-1	No	0	Mor	PF08765	"Mor transcription activator family"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01762	NODE_46_length_13546_cov_11.7735	6279	6674	396	-1	No	0	DUF1018	PF06252	"Protein of unknown function (DUF1018)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01763	NODE_46_length_13546_cov_11.7735	6718	7128	411	1	No	0	DUF2513	PF10711	"Hypothetical protein (DUF2513)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii
metaerg.pl|01766	NODE_46_length_13546_cov_11.7735	7603	8436	834	-1	No	0	DUF5051	PF16473	"3' exoribonuclease, RNase T-like"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01768	NODE_46_length_13546_cov_11.7735	8657	9358	702	-1	No	0	DUF2786	PF10979	"Protein of unknown function (DUF2786)"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01770	NODE_46_length_13546_cov_11.7735	9852	10376	525	-1	No	0	Phage_Mu_Gam	PF07352	"Bacteriophage Mu Gam like protein"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Erwinia;s__Erwinia typographi
metaerg.pl|01773	NODE_46_length_13546_cov_11.7735	10971	11894	924	-1	No	0	AAA_22	PF13401	"AAA domain"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01773	NODE_46_length_13546_cov_11.7735	10971	11894	924	-1	No	0	HTH_26	PF13443	"Cro/C1-type HTH DNA-binding domain"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01774	NODE_46_length_13546_cov_11.7735	11905	13545	1641	-1	No	0	Mu-transpos_C	PF09299	"Mu transposase, C-terminal"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01774	NODE_46_length_13546_cov_11.7735	11905	13545	1641	-1	No	0	rve	PF00665	"Integrase core domain"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia symbiotica
metaerg.pl|01776	NODE_47_length_13397_cov_7.45792	952	1206	255	1	No	0	Hfq	PF17209	"Hfq protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01777	NODE_47_length_13397_cov_7.45792	1312	2661	1350	1	No	0	Dynamin_N	PF00350	"Dynamin family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01777	NODE_47_length_13397_cov_7.45792	1312	2661	1350	1	No	0	FeoB_N	PF02421	"Ferrous iron transport protein B"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01777	NODE_47_length_13397_cov_7.45792	1312	2661	1350	1	No	0	GTP-bdg_M	PF16360	"GTP-binding GTPase Middle Region"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01777	NODE_47_length_13397_cov_7.45792	1312	2661	1350	1	No	0	GTP-bdg_N	PF13167	"GTP-binding GTPase N-terminal"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01777	NODE_47_length_13397_cov_7.45792	1312	2661	1350	1	No	0	MMR_HSR1	PF01926	"50S ribosome-binding GTPase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01778	NODE_47_length_13397_cov_7.45792	2691	3236	546	1	No	0	Hexapep	PF00132	"Bacterial transferase hexapeptide (six repeats)"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01779	NODE_47_length_13397_cov_7.45792	3304	4287	984	1	No	0	SBF	PF01758	"Sodium Bile acid symporter family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01779	NODE_47_length_13397_cov_7.45792	3304	4287	984	1	No	0	SBF_like	PF13593	"SBF-like CPA transporter family (DUF4137)"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01780	NODE_47_length_13397_cov_7.45792	4238	5086	849	1	No	0	Methyltransf_11	PF08241	"Methyltransferase domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01780	NODE_47_length_13397_cov_7.45792	4238	5086	849	1	No	0	Methyltransf_12	PF08242	"Methyltransferase domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01780	NODE_47_length_13397_cov_7.45792	4238	5086	849	1	No	0	Methyltransf_23	PF13489	"Methyltransferase domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01780	NODE_47_length_13397_cov_7.45792	4238	5086	849	1	No	0	Methyltransf_25	PF13649	"Methyltransferase domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|01780	NODE_47_length_13397_cov_7.45792	4238	5086	849	1	No	0	Methyltransf_31	PF13847	"Methyltransferase domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
