#Accession	Name	Function	Count	Count_pct
TIGR00180	parB_part	"ParB/RepB/Spo0J family partition protein"	3	0.02
TIGR00061	L21	"ribosomal protein bL21"	2	0.01
TIGR03561	organ_hyd_perox	"peroxiredoxin, Ohr subfamily"	1	0.01
TIGR03033	phage_rel_nuc	"putative phage-type endonuclease"	3	0.02
TIGR00053	TIGR00053	"addiction module toxin component, YafQ family"	1	0.01
TIGR01704	MTA/SAH-Nsdase	"MTA/SAH nucleosidase"	1	0.01
TIGR02227	sigpep_I_bact	"signal peptidase I"	2	0.01
TIGR02683	upstrm_HI1419	"putative addiction module killer protein"	2	0.01
TIGR00390	hslU	"ATP-dependent protease HslVU, ATPase subunit"	1	0.01
TIGR01594	holin_lambda	"phage holin, lambda family"	1	0.01
TIGR01416	Rieske_proteo	"ubiquinol-cytochrome c reductase, iron-sulfur subunit"	2	0.01
TIGR01379	thiL	"thiamine-phosphate kinase"	1	0.01
TIGR02215	phage_chp_gp8	"phage conserved hypothetical protein, phiE125 gp8 family"	4	0.02
TIGR00071	hisT_truA	"tRNA pseudouridine(38-40) synthase"	1	0.01
TIGR01414	autotrans_barl	"outer membrane autotransporter barrel domain"	13	0.07
TIGR00193	urease_gam	"urease, gamma subunit"	1	0.01
TIGR01541	tape_meas_lam_C	"phage tail tape measure protein, lambda family"	2	0.01
TIGR03593	yidC_nterm	"membrane protein insertase, YidC/Oxa1 family, N-terminal domain"	1	0.01
TIGR00135	gatC	"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit"	2	0.01
TIGR00481	TIGR00481	"Raf kinase inhibitor-like protein, YbhB/YbcL family"	2	0.01
TIGR00531	BCCP	"acetyl-CoA carboxylase, biotin carboxyl carrier protein"	1	0.01
TIGR00472	pheT_bact	"phenylalanine--tRNA ligase, beta subunit"	1	0.01
TIGR00192	urease_beta	"urease, beta subunit"	1	0.01
TIGR01766	tspaseT_teng_C	"transposase, IS605 OrfB family"	4	0.02
TIGR02607	antidote_HigA	"addiction module antidote protein, HigA family"	2	0.01
TIGR00249	sixA	"phosphohistidine phosphatase SixA"	1	0.01
TIGR00059	L17	"ribosomal protein bL17"	2	0.01
TIGR01166	cbiO	"cobalt ABC transporter, ATP-binding protein"	1	0.01
TIGR01292	TRX_reduct	"thioredoxin-disulfide reductase"	1	0.01
TIGR01993	Pyr-5-nucltdase	"pyrimidine 5'-nucleotidase"	1	0.01
TIGR01547	phage_term_2	"phage terminase, large subunit, PBSX family"	13	0.07
TIGR01740	pyrF	"orotidine 5'-phosphate decarboxylase"	2	0.01
TIGR01358	DAHP_synth_II	"3-deoxy-7-phosphoheptulonate synthase"	1	0.01
TIGR01662	HAD-SF-IIIA	"HAD hydrolase, family IIIA"	1	0.01
TIGR00001	rpmI_bact	"ribosomal protein bL35"	1	0.01
TIGR01393	lepA	"elongation factor 4"	1	0.01
