#Accession	ID	Description	Count	Count_pct
PF06803	DUF1232	"Protein of unknown function (DUF1232)"	1	0.01
PF00176	SNF2_N	"SNF2 family N-terminal domain"	6	0.03
PF11870	DUF3390	"Domain of unknown function (DUF3390)"	1	0.01
PF08230	CW_7	"CW_7 repeat"	4	0.02
PF13463	HTH_27	"Winged helix DNA-binding domain"	6	0.03
PF05732	RepL	"Firmicute plasmid replication protein (RepL)"	1	0.01
PF08924	DUF1906	"Domain of unknown function (DUF1906)"	1	0.01
PF02789	Peptidase_M17_N	"Cytosol aminopeptidase family, N-terminal domain"	1	0.01
PF12704	MacB_PCD	"MacB-like periplasmic core domain"	4	0.02
PF00401	ATP-synt_DE	"ATP synthase, Delta/Epsilon chain, long alpha-helix domain"	1	0.01
PF01638	HxlR	"HxlR-like helix-turn-helix"	5	0.03
PF01202	SKI	"Shikimate kinase"	2	0.01
PF18602	Rap1a	"Rap1a immunity proteins"	1	0.01
PF03949	Malic_M	"Malic enzyme, NAD binding domain"	2	0.01
PF03824	NicO	"High-affinity nickel-transport protein"	2	0.01
PF08411	Exonuc_X-T_C	"Exonuclease C-terminal"	1	0.01
PF00580	UvrD-helicase	"UvrD/REP helicase N-terminal domain"	8	0.04
PF13566	DUF4130	"Domain of unknown function (DUF4130"	1	0.01
PF13624	SurA_N_3	"SurA N-terminal domain"	1	0.01
PF09327	DUF1983	"Domain of unknown function (DUF1983)"	5	0.03
PF16069	DUF4811	"Domain of unknown function (DUF4811)"	1	0.01
PF13468	Glyoxalase_3	"Glyoxalase-like domain"	1	0.01
PF13116	DUF3971	"Protein of unknown function"	1	0.01
PF02603	Hpr_kinase_N	"HPr Serine kinase N terminus"	1	0.01
PF02874	ATP-synt_ab_N	"ATP synthase alpha/beta family, beta-barrel domain"	3	0.02
PF02132	RecR	"RecR protein"	1	0.01
PF00893	Multi_Drug_Res	"Small Multidrug Resistance protein"	3	0.02
PF04715	Anth_synt_I_N	"Anthranilate synthase component I, N terminal region"	1	0.01
PF07087	DUF1353	"Protein of unknown function (DUF1353)"	1	0.01
PF03403	PAF-AH_p_II	"Platelet-activating factor acetylhydrolase, isoform II"	1	0.01
PF01197	Ribosomal_L31	"Ribosomal protein L31"	1	0.01
PF02381	MraZ	"MraZ protein, putative antitoxin-like"	1	0.01
PF01593	Amino_oxidase	"Flavin containing amine oxidoreductase"	2	0.01
PF17676	Peptidase_S66C	"LD-carboxypeptidase C-terminal domain"	1	0.01
PF00218	IGPS	"Indole-3-glycerol phosphate synthase"	1	0.01
PF02773	S-AdoMet_synt_C	"S-adenosylmethionine synthetase, C-terminal domain"	2	0.01
PF17820	PDZ_6	"PDZ domain"	8	0.04
PF13333	rve_2	"Integrase core domain"	5	0.03
PF00834	Ribul_P_3_epim	"Ribulose-phosphate 3 epimerase family"	1	0.01
PF01118	Semialdhyde_dh	"Semialdehyde dehydrogenase, NAD binding domain"	4	0.02
PF11319	VasI	"Type VI secretion system VasI, EvfG, VC_A0118"	5	0.03
PF13482	RNase_H_2	"RNase_H superfamily"	3	0.02
PF12569	NARP1	"NMDA receptor-regulated protein 1 "	1	0.01
PF01068	DNA_ligase_A_M	"ATP dependent DNA ligase domain"	1	0.01
PF14471	DUF4428	"Domain of unknown function (DUF4428)"	2	0.01
PF04552	Sigma54_DBD	"Sigma-54, DNA binding domain"	2	0.01
PF05443	ROS_MUCR	"ROS/MUCR transcriptional regulator protein"	3	0.02
PF04962	KduI	"KduI/IolB family"	1	0.01
PF01544	CorA	"CorA-like Mg2+ transporter protein"	2	0.01
PF14497	GST_C_3	"Glutathione S-transferase, C-terminal domain"	1	0.01
PF00201	UDPGT	"UDP-glucoronosyl and UDP-glucosyl transferase"	1	0.01
PF16190	E1_FCCH	"Ubiquitin-activating enzyme E1 FCCH domain"	1	0.01
PF01078	Mg_chelatase	"Magnesium chelatase, subunit ChlI"	7	0.04
PF04898	Glu_syn_central	"Glutamate synthase central domain"	1	0.01
PF01041	DegT_DnrJ_EryC1	"DegT/DnrJ/EryC1/StrS aminotransferase family"	15	0.08
PF03602	Cons_hypoth95	"Conserved hypothetical protein 95"	5	0.03
PF00198	2-oxoacid_dh	"2-oxoacid dehydrogenases acyltransferase (catalytic domain)"	3	0.02
PF01295	Adenylate_cycl	"Adenylate cyclase, class-I"	2	0.01
PF11380	Stealth_CR2	"Stealth protein CR2, conserved region 2"	1	0.01
PF02684	LpxB	"Lipid-A-disaccharide synthetase"	2	0.01
PF02153	PDH	"Prephenate dehydrogenase"	2	0.01
PF02378	PTS_EIIC	"Phosphotransferase system, EIIC"	9	0.05
PF02233	PNTB	"NAD(P) transhydrogenase beta subunit"	1	0.01
PF01479	S4	"S4 domain"	3	0.02
PF03872	RseA_N	"Anti sigma-E protein RseA, N-terminal domain"	1	0.01
PF06050	HGD-D	"2-hydroxyglutaryl-CoA dehydratase, D-component"	1	0.01
PF05275	CopB	"Copper resistance protein B precursor (CopB)"	1	0.01
PF14492	EFG_II	"Elongation Factor G, domain II"	4	0.02
PF13086	AAA_11	"AAA domain"	3	0.02
PF00950	ABC-3	"ABC 3 transport family"	19	0.10
PF13649	Methyltransf_25	"Methyltransferase domain"	16	0.09
PF05135	Phage_connect_1	"Phage gp6-like head-tail connector protein"	15	0.08
PF09334	tRNA-synt_1g	"tRNA synthetases class I (M)"	13	0.07
PF04321	RmlD_sub_bind	"RmlD substrate binding domain"	11	0.06
PF03245	Phage_lysis	"Bacteriophage Rz lysis protein"	5	0.03
PF00593	TonB_dep_Rec	"TonB dependent receptor"	28	0.15
PF03618	Kinase-PPPase	"Kinase/pyrophosphorylase"	3	0.02
PF05834	Lycopene_cycl	"Lycopene cyclase protein"	1	0.01
PF02130	UPF0054	"Uncharacterized protein family UPF0054"	2	0.01
PF01027	Bax1-I	"Inhibitor of apoptosis-promoting Bax1"	3	0.02
PF05185	PRMT5	"PRMT5 arginine-N-methyltransferase"	2	0.01
PF10543	ORF6N	"ORF6N domain"	2	0.01
PF01076	Mob_Pre	"Plasmid recombination enzyme"	4	0.02
PF10979	DUF2786	"Protein of unknown function (DUF2786)"	4	0.02
PF01946	Thi4	"Thi4 family"	3	0.02
PF10991	DUF2815	"Protein of unknown function (DUF2815)"	4	0.02
PF01523	PmbA_TldD	"Putative modulator of DNA gyrase"	6	0.03
PF06097	DUF945	"Bacterial protein of unknown function (DUF945)"	2	0.01
PF06629	MipA	"MltA-interacting protein MipA"	1	0.01
PF00043	GST_C	"Glutathione S-transferase, C-terminal domain"	1	0.01
PF00662	Proton_antipo_N	"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus"	3	0.02
PF03706	LPG_synthase_TM	"Lysylphosphatidylglycerol synthase TM region"	4	0.02
PF12802	MarR_2	"MarR family"	5	0.03
PF00455	DeoRC	"DeoR C terminal sensor domain"	8	0.04
PF06627	DUF1153	"Protein of unknown function (DUF1153)"	1	0.01
PF13730	HTH_36	"Helix-turn-helix domain"	11	0.06
PF00013	KH_1	"KH domain"	3	0.02
PF01807	zf-CHC2	"CHC2 zinc finger"	2	0.01
PF00903	Glyoxalase	"Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily"	1	0.01
PF02562	PhoH	"PhoH-like protein"	7	0.04
PF01232	Mannitol_dh	"Mannitol dehydrogenase Rossmann domain"	3	0.02
PF12706	Lactamase_B_2	"Beta-lactamase superfamily domain"	3	0.02
PF01613	Flavin_Reduct	"Flavin reductase like domain"	1	0.01
PF12363	Phage_TAC_12	"Phage tail assembly chaperone protein, TAC"	3	0.02
PF00224	PK	"Pyruvate kinase, barrel domain"	4	0.02
PF06673	L_lactis_ph-MCP	"Lactococcus lactis bacteriophage major capsid protein"	1	0.01
PF16123	HAGH_C	"Hydroxyacylglutathione hydrolase C-terminus"	2	0.01
PF17167	Glyco_hydro_36	"Glycosyl hydrolase 36 superfamily, catalytic domain"	3	0.02
PF08873	DUF1834	"Domain of unknown function (DUF1834)"	1	0.01
PF04198	Sugar-bind	"Putative sugar-binding domain"	2	0.01
PF01494	FAD_binding_3	"FAD binding domain"	7	0.04
PF03577	Peptidase_C69	"Peptidase family C69"	1	0.01
PF12458	DUF3686	"ATPase involved in DNA repair"	2	0.01
PF00633	HHH	"Helix-hairpin-helix motif"	3	0.02
PF05521	Phage_H_T_join	"Phage head-tail joining protein"	10	0.05
PF00226	DnaJ	"DnaJ domain"	1	0.01
PF08748	Phage_TAC_4	"Phage tail assembly chaperone"	3	0.02
PF00799	Gemini_AL1	"Geminivirus Rep catalytic domain"	17	0.09
PF16884	ADH_N_2	"N-terminal domain of oxidoreductase"	1	0.01
PF04471	Mrr_cat	"Restriction endonuclease"	1	0.01
PF00005	ABC_tran	"ABC transporter"	127	0.70
PF02770	Acyl-CoA_dh_M	"Acyl-CoA dehydrogenase, middle domain"	2	0.01
PF06744	IcmF_C	"Type VI secretion protein IcmF C-terminal"	2	0.01
PF07678	TED_complement	"A-macroglobulin TED domain"	1	0.01
PF03747	ADP_ribosyl_GH	"ADP-ribosylglycohydrolase"	1	0.01
PF01520	Amidase_3	"N-acetylmuramoyl-L-alanine amidase"	3	0.02
PF03548	LolA	"Outer membrane lipoprotein carrier protein LolA"	1	0.01
PF00831	Ribosomal_L29	"Ribosomal L29 protein"	1	0.01
PF04143	Sulf_transp	"Sulphur transport"	2	0.01
PF02545	Maf	"Maf-like protein"	1	0.01
PF13145	Rotamase_2	"PPIC-type PPIASE domain"	2	0.01
PF12691	Minor_capsid_3	"Minor capsid protein from bacteriophage"	1	0.01
PF13286	HD_assoc	"Phosphohydrolase-associated domain"	1	0.01
PF06995	Phage_P2_GpU	"Phage P2 GpU"	10	0.05
PF13533	Biotin_lipoyl_2	"Biotin-lipoyl like"	6	0.03
PF04412	DUF521	"Protein of unknown function (DUF521)"	1	0.01
PF12850	Metallophos_2	"Calcineurin-like phosphoesterase superfamily domain"	6	0.03
PF01715	IPPT	"IPP transferase"	2	0.01
PF07453	NUMOD1	"NUMOD1 domain"	3	0.02
PF04355	SmpA_OmlA	"SmpA / OmlA family"	1	0.01
PF01266	DAO	"FAD dependent oxidoreductase"	14	0.08
PF08423	Rad51	"Rad51"	9	0.05
PF07030	DUF1320	"Protein of unknown function (DUF1320)"	7	0.04
PF05943	VipB	"Type VI secretion protein, EvpB/VC_A0108, tail sheath"	3	0.02
PF04175	DUF406	"Protein of unknown function (DUF406)"	1	0.01
PF02686	Glu-tRNAGln	"Glu-tRNAGln amidotransferase C subunit"	2	0.01
PF08291	Peptidase_M15_3	"Peptidase M15"	21	0.12
PF01016	Ribosomal_L27	"Ribosomal L27 protein"	1	0.01
PF01077	NIR_SIR	"Nitrite and sulphite reductase 4Fe-4S domain"	1	0.01
PF01174	SNO	"SNO glutamine amidotransferase family"	1	0.01
PF00977	His_biosynth	"Histidine biosynthesis protein"	11	0.06
PF01042	Ribonuc_L-PSP	"Endoribonuclease L-PSP"	1	0.01
PF01293	PEPCK_ATP	"Phosphoenolpyruvate carboxykinase"	3	0.02
PF01268	FTHFS	"Formate--tetrahydrofolate ligase"	4	0.02
PF00353	HemolysinCabind	"RTX calcium-binding nonapeptide repeat (4 copies)"	5	0.03
PF04794	YdjC	"YdjC-like protein"	4	0.02
PF02771	Acyl-CoA_dh_N	"Acyl-CoA dehydrogenase, N-terminal domain"	1	0.01
PF08448	PAS_4	"PAS fold"	1	0.01
PF01617	Surface_Ag_2	"Surface antigen"	2	0.01
PF04461	DUF520	"Protein of unknown function (DUF520)"	1	0.01
PF13773	DUF4170	"Domain of unknown function (DUF4170)"	2	0.01
PF06258	Mito_fiss_Elm1	"Mitochondrial fission ELM1"	1	0.01
PF05638	T6SS_HCP	"Type VI secretion system effector, Hcp"	1	0.01
PF01515	PTA_PTB	"Phosphate acetyl/butaryl transferase"	6	0.03
PF01411	tRNA-synt_2c	"tRNA synthetases class II (A)"	3	0.02
PF02578	Cu-oxidase_4	"Multi-copper polyphenol oxidoreductase laccase"	2	0.01
PF03217	SlpA	"Surface later protein A domain"	13	0.07
PF11898	DUF3418	"Domain of unknown function (DUF3418)"	5	0.03
PF09003	Arm-DNA-bind_1	"Bacteriophage lambda integrase, Arm DNA-binding domain "	1	0.01
PF17802	SpaA	"Prealbumin-like fold domain"	1	0.01
PF00749	tRNA-synt_1c	"tRNA synthetases class I (E and Q), catalytic domain"	2	0.01
PF07352	Phage_Mu_Gam	"Bacteriophage Mu Gam like protein"	6	0.03
PF14594	Sipho_Gp37	"Siphovirus ReqiPepy6 Gp37-like protein"	1	0.01
PF01943	Polysacc_synt	"Polysaccharide biosynthesis protein"	2	0.01
PF12831	FAD_oxidored	"FAD dependent oxidoreductase"	4	0.02
PF18289	HU-CCDC81_euk_2	"CCDC81 eukaryotic HU domain 2"	1	0.01
PF16953	PRORP	"Protein-only RNase P"	1	0.01
PF14561	TPR_20	"Tetratricopeptide repeat"	1	0.01
PF00510	COX3	"Cytochrome c oxidase subunit III"	3	0.02
PF00874	PRD	"PRD domain"	6	0.03
PF02958	EcKinase	"Ecdysteroid kinase"	1	0.01
PF07549	Sec_GG	"SecD/SecF GG Motif"	4	0.02
PF02550	AcetylCoA_hydro	"Acetyl-CoA hydrolase/transferase N-terminal domain"	3	0.02
PF00128	Alpha-amylase	"Alpha amylase, catalytic domain"	1	0.01
PF01476	LysM	"LysM domain"	22	0.12
PF17863	AAA_lid_2	"AAA lid domain"	1	0.01
PF10555	MraY_sig1	"Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1"	2	0.01
PF02491	SHS2_FTSA	"SHS2 domain inserted in FTSA"	2	0.01
PF00338	Ribosomal_S10	"Ribosomal protein S10p/S20e"	1	0.01
PF00989	PAS	"PAS fold"	3	0.02
PF05239	PRC	"PRC-barrel domain"	3	0.02
PF13279	4HBT_2	"Thioesterase-like superfamily"	1	0.01
PF03090	Replicase	"Replicase family"	2	0.01
PF17759	tRNA_synthFbeta	"Phenylalanyl tRNA synthetase beta chain CLM domain"	6	0.03
PF14550	Peptidase_S78_2	"Putative phage serine protease XkdF"	2	0.01
PF00670	AdoHcyase_NAD	"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"	2	0.01
PF08003	Methyltransf_9	"Protein of unknown function (DUF1698)"	1	0.01
PF13631	Cytochrom_B_N_2	"Cytochrome b(N-terminal)/b6/petB"	3	0.02
PF01223	Endonuclease_NS	"DNA/RNA non-specific endonuclease"	1	0.01
PF10711	DUF2513	"Hypothetical protein (DUF2513)"	6	0.03
PF01867	Cas_Cas1	"CRISPR associated protein Cas1"	1	0.01
PF10713	DUF2509	"Protein of unknown function (DUF2509)"	1	0.01
PF03471	CorC_HlyC	"Transporter associated domain"	3	0.02
PF03306	AAL_decarboxy	"Alpha-acetolactate decarboxylase"	2	0.01
PF01432	Peptidase_M3	"Peptidase family M3"	3	0.02
PF03601	Cons_hypoth698	"Conserved hypothetical protein 698"	2	0.01
PF05190	MutS_IV	"MutS family domain IV"	3	0.02
PF00729	Viral_coat	"Viral coat protein (S domain)"	5	0.03
PF03009	GDPD	"Glycerophosphoryl diester phosphodiesterase family"	1	0.01
PF07449	HyaE	"Hydrogenase-1 expression protein HyaE"	1	0.01
PF03969	AFG1_ATPase	"AFG1-like ATPase"	1	0.01
PF06186	DUF992	"Protein of unknown function (DUF992)"	1	0.01
PF12710	HAD	"haloacid dehalogenase-like hydrolase"	3	0.02
PF01182	Glucosamine_iso	"Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase"	1	0.01
PF04383	KilA-N	"KilA-N domain"	6	0.03
PF00297	Ribosomal_L3	"Ribosomal protein L3"	1	0.01
PF00308	Bac_DnaA	"Bacterial dnaA  protein"	8	0.04
PF04354	ZipA_C	"ZipA, C-terminal FtsZ-binding domain"	2	0.01
PF04550	Phage_holin_3_2	"Phage holin family 2"	3	0.02
PF01503	PRA-PH	"Phosphoribosyl-ATP pyrophosphohydrolase"	4	0.02
PF05746	DALR_1	"DALR anticodon binding domain"	1	0.01
PF01450	IlvC	"Acetohydroxy acid isomeroreductase, catalytic domain"	3	0.02
PF04098	Rad52_Rad22	"Rad52/22 family double-strand break repair protein"	1	0.01
PF13181	TPR_8	"Tetratricopeptide repeat"	4	0.02
PF16079	Phage_holin_5_2	"Phage holin family Hol44, in holin superfamily V"	1	0.01
PF00164	Ribosom_S12_S23	"Ribosomal protein S12/S23"	2	0.01
PF04357	TamB	"TamB, inner membrane protein subunit of TAM complex"	3	0.02
PF01136	Peptidase_U32	"Peptidase family U32"	7	0.04
PF13264	DUF4055	"Domain of unknown function (DUF4055)"	8	0.04
PF01795	Methyltransf_5	"MraW methylase family"	7	0.04
PF02738	Ald_Xan_dh_C2	"Molybdopterin-binding domain of aldehyde dehydrogenase"	1	0.01
PF00140	Sigma70_r1_2	"Sigma-70 factor, region 1.2"	1	0.01
PF13512	TPR_18	"Tetratricopeptide repeat"	3	0.02
PF05977	MFS_3	"Transmembrane secretion effector"	5	0.03
PF05523	FdtA	"WxcM-like, C-terminal"	1	0.01
PF00328	His_Phos_2	"Histidine phosphatase superfamily (branch 2)"	1	0.01
PF12170	DNA_pol3_tau_5	"DNA polymerase III tau subunit V interacting with alpha"	2	0.01
PF02295	z-alpha	"Adenosine deaminase z-alpha domain"	1	0.01
PF02154	FliM	"Flagellar motor switch protein FliM"	1	0.01
PF02881	SRP54_N	"SRP54-type protein, helical bundle domain"	1	0.01
PF01513	NAD_kinase	"ATP-NAD kinase"	5	0.03
PF02542	YgbB	"YgbB family"	1	0.01
PF07748	Glyco_hydro_38C	"Glycosyl hydrolases family 38 C-terminal domain"	1	0.01
PF07484	Collar	"Phage Tail Collar Domain"	17	0.09
PF03576	Peptidase_S58	"Peptidase family S58"	2	0.01
PF13692	Glyco_trans_1_4	"Glycosyl transferases group 1"	6	0.03
PF04284	DUF441	"Protein of unknown function (DUF441)"	1	0.01
PF01467	CTP_transf_like	"Cytidylyltransferase-like"	3	0.02
PF17891	FluMu_N	"Mu-like prophage FluMu N-terminal domain"	1	0.01
PF10761	DUF2590	"Protein of unknown function (DUF2590)"	3	0.02
PF02581	TMP-TENI	"Thiamine monophosphate synthase"	3	0.02
PF00694	Aconitase_C	"Aconitase C-terminal domain"	3	0.02
PF13371	TPR_9	"Tetratricopeptide repeat"	1	0.01
PF07825	Exc	"Excisionase-like protein"	1	0.01
PF00109	ketoacyl-synt	"Beta-ketoacyl synthase, N-terminal domain"	9	0.05
PF13722	CstA_5TM	"5TM C-terminal transporter carbon starvation CstA"	2	0.01
PF00772	DnaB	"DnaB-like helicase N terminal domain"	9	0.05
PF04333	MlaA	"MlaA lipoprotein"	1	0.01
PF04586	Peptidase_S78	"Caudovirus prohead serine protease"	17	0.09
PF07282	OrfB_Zn_ribbon	"Putative transposase DNA-binding domain"	3	0.02
PF01183	Glyco_hydro_25	"Glycosyl hydrolases family 25"	23	0.13
PF00962	A_deaminase	"Adenosine/AMP deaminase"	1	0.01
PF13588	HSDR_N_2	"Type I restriction enzyme R protein N terminus (HSDR_N)"	1	0.01
PF13292	DXP_synthase_N	"1-deoxy-D-xylulose-5-phosphate synthase"	3	0.02
PF01713	Smr	"Smr domain"	1	0.01
PF13304	AAA_21	"AAA domain, putative AbiEii toxin, Type IV TA system"	16	0.09
PF03900	Porphobil_deamC	"Porphobilinogen deaminase, C-terminal domain"	2	0.01
PF00183	HSP90	"Hsp90 protein"	1	0.01
PF12167	Arm-DNA-bind_2	"Arm DNA-binding domain"	3	0.02
PF02277	DBI_PRT	"Phosphoribosyltransferase"	1	0.01
PF16157	DUF4865	"Domain of unknown function (DUF4865)"	1	0.01
PF13408	Zn_ribbon_recom	"Recombinase zinc beta ribbon domain"	1	0.01
PF08218	Citrate_ly_lig	"Citrate lyase ligase C-terminal domain"	1	0.01
PF14464	Prok-JAB	"Prokaryotic homologs of the JAB domain"	8	0.04
PF12564	TypeIII_RM_meth	"Type III restriction/modification enzyme methylation subunit"	1	0.01
PF13407	Peripla_BP_4	"Periplasmic binding protein domain"	4	0.02
PF03104	DNA_pol_B_exo1	"DNA polymerase family B, exonuclease domain"	1	0.01
PF13618	Gluconate_2-dh3	"Gluconate 2-dehydrogenase subunit 3"	1	0.01
PF02683	DsbD	"Cytochrome C biogenesis protein transmembrane region"	1	0.01
PF02879	PGM_PMM_II	"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"	1	0.01
PF18454	Mtd_N	"Major tropism determinant N-terminal domain"	1	0.01
PF05704	Caps_synth	"Capsular polysaccharide synthesis protein"	2	0.01
PF01571	GCV_T	"Aminomethyltransferase folate-binding domain"	1	0.01
PF11651	P22_CoatProtein	"P22 coat protein - gene protein 5"	3	0.02
PF00697	PRAI	"N-(5'phosphoribosyl)anthranilate (PRA) isomerase"	2	0.01
PF14693	Ribosomal_TL5_C	"Ribosomal protein TL5, C-terminal domain"	1	0.01
PF03853	YjeF_N	"YjeF-related protein N-terminus"	3	0.02
PF00083	Sugar_tr	"Sugar (and other) transporter"	30	0.16
PF00263	Secretin	"Bacterial type II and III secretion system protein"	1	0.01
PF00289	Biotin_carb_N	"Biotin carboxylase, N-terminal domain"	2	0.01
PF02091	tRNA-synt_2e	"Glycyl-tRNA synthetase alpha subunit"	2	0.01
PF17757	UvrB_inter	"UvrB interaction domain"	2	0.01
PF07221	GlcNAc_2-epim	"N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)"	4	0.02
PF01509	TruB_N	"TruB family pseudouridylate synthase (N terminal domain)"	2	0.01
PF07687	M20_dimer	"Peptidase dimerisation domain"	7	0.04
PF08722	Tn7_Tnp_TnsA_N	"TnsA endonuclease N terminal"	1	0.01
PF12568	PanZ	"Acetyltransferase (GNAT) domain, PanZ"	1	0.01
PF01832	Glucosaminidase	"Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase"	7	0.04
PF00884	Sulfatase	"Sulfatase"	8	0.04
PF12848	ABC_tran_Xtn	"ABC transporter"	4	0.02
PF16901	DAO_C	"C-terminal domain of alpha-glycerophosphate oxidase"	3	0.02
PF01464	SLT	"Transglycosylase SLT domain"	18	0.10
PF05171	HemS	"Haemin-degrading HemS.ChuX domain"	2	0.01
PF03755	YicC_N	"YicC-like family, N-terminal region"	2	0.01
PF02786	CPSase_L_D2	"Carbamoyl-phosphate synthase L chain, ATP binding domain"	9	0.05
PF01784	NIF3	"NIF3 (NGG1p interacting factor 3)"	5	0.03
PF13362	Toprim_3	"Toprim domain"	5	0.03
PF02955	GSH-S_ATP	"Prokaryotic glutathione synthetase, ATP-grasp domain"	3	0.02
PF05125	Phage_cap_P2	"Phage major capsid protein, P2 family"	13	0.07
PF00350	Dynamin_N	"Dynamin family"	3	0.02
PF00027	cNMP_binding	"Cyclic nucleotide-binding domain"	4	0.02
PF12797	Fer4_2	"4Fe-4S binding domain"	1	0.01
PF08299	Bac_DnaA_C	"Bacterial dnaA protein helix-turn-helix"	2	0.01
PF12684	DUF3799	"PDDEXK-like domain of unknown function (DUF3799)"	13	0.07
PF03814	KdpA	"Potassium-transporting ATPase A subunit"	2	0.01
PF13361	UvrD_C	"UvrD-like helicase C-terminal domain"	7	0.04
PF13539	Peptidase_M15_4	"D-alanyl-D-alanine carboxypeptidase"	6	0.03
PF01632	Ribosomal_L35p	"Ribosomal protein L35"	1	0.01
PF02873	MurB_C	"UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain"	2	0.01
PF09849	DUF2076	"Uncharacterized protein conserved in bacteria (DUF2076)"	1	0.01
PF01250	Ribosomal_S6	"Ribosomal protein S6"	1	0.01
PF09339	HTH_IclR	"IclR helix-turn-helix domain"	2	0.01
PF00636	Ribonuclease_3	"Ribonuclease III domain"	1	0.01
PF04386	SspB	"Stringent starvation protein B"	2	0.01
PF10547	P22_AR_N	"P22_AR N-terminal domain"	9	0.05
PF00547	Urease_gamma	"Urease, gamma subunit"	1	0.01
PF03612	EIIBC-GUT_N	"Sorbitol phosphotransferase enzyme II N-terminus"	1	0.01
PF12323	HTH_OrfB_IS605	"Helix-turn-helix domain"	3	0.02
PF14094	DUF4272	"Domain of unknown function (DUF4272)"	1	0.01
PF13246	Cation_ATPase	"Cation transport ATPase (P-type)"	1	0.01
PF00528	BPD_transp_1	"Binding-protein-dependent transport system inner membrane component"	46	0.25
PF02441	Flavoprotein	"Flavoprotein"	3	0.02
PF05013	FGase	"N-formylglutamate amidohydrolase"	2	0.01
PF03481	SUA5	"Putative GTP-binding controlling metal-binding"	2	0.01
PF04972	BON	"BON domain"	1	0.01
PF13022	HTH_Tnp_1_2	"Helix-turn-helix of insertion element transposase"	1	0.01
PF00366	Ribosomal_S17	"Ribosomal protein S17"	1	0.01
PF04464	Glyphos_transf	"CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase"	3	0.02
PF02146	SIR2	"Sir2 family"	3	0.02
PF01979	Amidohydro_1	"Amidohydrolase family"	6	0.03
PF14088	DUF4268	"Domain of unknown function (DUF4268)"	1	0.01
PF08436	DXP_redisom_C	"1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain"	1	0.01
PF05265	DUF723	"Protein of unknown function (DUF723)"	2	0.01
PF03906	Phage_T7_tail	"Phage T7 tail fibre protein"	3	0.02
PF08352	oligo_HPY	"Oligopeptide/dipeptide transporter, C-terminal region"	3	0.02
PF02774	Semialdhyde_dhC	"Semialdehyde dehydrogenase, dimerisation domain"	2	0.01
PF14450	FtsA	"Cell division protein FtsA"	2	0.01
PF09866	DUF2093	"Uncharacterized protein conserved in bacteria (DUF2093)"	1	0.01
PF01653	DNA_ligase_aden	"NAD-dependent DNA ligase adenylation domain"	8	0.04
PF13280	WYL	"WYL domain"	1	0.01
PF04288	MukE	"MukE-like family"	1	0.01
PF16193	AAA_assoc_2	"AAA C-terminal domain"	2	0.01
PF16868	NMT1_3	"NMT1-like family"	1	0.01
PF13600	DUF4140	"N-terminal domain of unknown function (DUF4140)"	1	0.01
PF00460	Flg_bb_rod	"Flagella basal body rod protein"	3	0.02
PF00753	Lactamase_B	"Metallo-beta-lactamase superfamily"	13	0.07
PF00107	ADH_zinc_N	"Zinc-binding dehydrogenase"	6	0.03
PF04341	DUF485	"Protein of unknown function, DUF485"	1	0.01
PF04796	RepA_C	"Plasmid encoded RepA protein"	1	0.01
PF02767	DNA_pol3_beta_2	"DNA polymerase III beta subunit, central domain"	9	0.05
PF16116	DUF4832	"Domain of unknown function (DUF4832)"	1	0.01
PF06277	EutA	"Ethanolamine utilisation protein EutA"	3	0.02
PF00390	malic	"Malic enzyme, N-terminal domain"	2	0.01
PF08007	Cupin_4	"Cupin superfamily protein"	1	0.01
PF03613	EIID-AGA	"PTS system mannose/fructose/sorbose family IID component"	11	0.06
PF01693	Cauli_VI	"Caulimovirus viroplasmin"	2	0.01
PF03374	ANT	"Phage antirepressor protein KilAC domain"	18	0.10
PF06378	DUF1071	"Protein of unknown function (DUF1071)"	3	0.02
PF00142	Fer4_NifH	"4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family"	13	0.07
PF11638	DnaA_N	"DnaA N-terminal domain"	1	0.01
PF04066	MrpF_PhaF	"Multiple resistance and pH regulation protein F (MrpF / PhaF)"	1	0.01
PF02119	FlgI	"Flagellar P-ring protein"	1	0.01
PF04245	NA37	"37-kD nucleoid-associated bacterial protein"	5	0.03
PF12327	FtsZ_C	"FtsZ family, C-terminal domain"	2	0.01
PF03884	YacG	"DNA gyrase inhibitor YacG"	1	0.01
PF16931	Phage_holin_8	"Putative phage holin"	5	0.03
PF12833	HTH_18	"Helix-turn-helix domain"	6	0.03
PF17864	AAA_lid_4	"RuvB AAA lid domain"	1	0.01
PF01043	SecA_PP_bind	"SecA preprotein cross-linking domain"	2	0.01
PF02056	Glyco_hydro_4	"Family 4 glycosyl hydrolase"	1	0.01
