#KO	Name	Definition	Count	Count_pct
K00266	gltD	"glutamate synthase (NADPH) small chain [EC:1.4.1.13]"	5	0.03
K08300	rne	"ribonuclease E [EC:3.1.26.12]"	2	0.01
K02357	tsf, TSFM	"elongation factor Ts"	3	0.02
K02337	dnaE	"DNA polymerase III subunit alpha [EC:2.7.7.7]"	16	0.09
K02052	ABC.SP.A	"putative spermidine/putrescine transport system ATP-binding protein"	56	0.31
K03182	ubiD	"4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]"	1	0.01
K13017	wbpE, wlbC	"UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]"	4	0.02
K01850	E5.4.99.5	"chorismate mutase [EC:5.4.99.5]"	3	0.02
K03060	rpoZ	"DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]"	1	0.01
K07053	E3.1.3.97	"3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"	1	0.01
K00703	glgA	"starch synthase [EC:2.4.1.21]"	1	0.01
K02518	infA	"translation initiation factor IF-1"	1	0.01
K04014	nrfC	"protein NrfC"	10	0.05
K01547	kdpB	"potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]"	1	0.01
K11720	lptG	"lipopolysaccharide export system permease protein"	3	0.02
K12997	rgpB	"rhamnosyltransferase [EC:2.4.1.-]"	8	0.04
K02931	RP-L5, MRPL5, rplE	"large subunit ribosomal protein L5"	1	0.01
K02888	RP-L21, MRPL21, rplU	"large subunit ribosomal protein L21"	2	0.01
K04022	eutG	"alcohol dehydrogenase"	1	0.01
K07566	tsaC, rimN, SUA5	"L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]"	5	0.03
K01008	selD, SEPHS	"selenide, water dikinase [EC:2.7.9.3]"	1	0.01
K02493	hemK, prmC, HEMK	"release factor glutamine methyltransferase [EC:2.1.1.297]"	4	0.02
K12992	rfbN	"rhamnosyltransferase [EC:2.4.1.-]"	3	0.02
K18324	acrD	"multidrug efflux pump"	1	0.01
K01845	hemL	"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"	4	0.02
K02788	PTS-Lac-EIIC, lacE	"PTS system, lactose-specific IIC component"	7	0.04
K08224	ynfM	"MFS transporter, YNFM family, putative membrane transport protein"	1	0.01
K01259	pip	"proline iminopeptidase [EC:3.4.11.5]"	7	0.04
K01838	pgmB	"beta-phosphoglucomutase [EC:5.4.2.6]"	1	0.01
K16092	btuB	"vitamin B12 transporter"	1	0.01
K10199	ABC.GLC.A	"glucose/arabinose transport system ATP-binding protein"	3	0.02
K10133	TP53I3	"tumor protein p53-inducible protein 3 [EC:1.-.-.-]"	1	0.01
K07656	trcS	"two-component system, OmpR family, sensor histidine kinase TrcS [EC:2.7.13.3]"	23	0.13
K03022	RPC8, POLR3H	"DNA-directed RNA polymerase III subunit RPC8"	3	0.02
K05800	ybaO	"Lrp/AsnC family transcriptional regulator"	1	0.01
K05936	cobM, cbiF	"precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]"	4	0.02
K03010	RPB2, POLR2B	"DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]"	3	0.02
K02063	thiP	"thiamine transport system permease protein"	1	0.01
K01815	kduI	"4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]"	1	0.01
K01885	EARS, gltX	"glutamyl-tRNA synthetase [EC:6.1.1.17]"	2	0.01
K02895	RP-L24, MRPL24, rplX	"large subunit ribosomal protein L24"	1	0.01
K16787	ecfA2	"energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]"	1	0.01
K00917	lacC	"tagatose 6-phosphate kinase [EC:2.7.1.144]"	1	0.01
K01147	rnb	"exoribonuclease II [EC:3.1.13.1]"	2	0.01
K02478	K02478	"two-component system, LytTR family, sensor kinase [EC:2.7.13.3]"	27	0.15
K00009	mtlD	"mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]"	1	0.01
K13483	yagT	"xanthine dehydrogenase YagT iron-sulfur-binding subunit"	6	0.03
K12526	lysAC	"bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]"	3	0.02
K00527	rtpR	"ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]"	8	0.04
K01696	trpB	"tryptophan synthase beta chain [EC:4.2.1.20]"	4	0.02
K11076	potG	"putrescine transport system ATP-binding protein"	5	0.03
K01993	ABC-2.TX	"HlyD family secretion protein"	1	0.01
K11216	lsrK	"autoinducer-2 kinase [EC:2.7.1.189]"	4	0.02
K01714	dapA	"4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]"	2	0.01
K09798	K09798	"uncharacterized protein"	1	0.01
K05989	ramA	"alpha-L-rhamnosidase [EC:3.2.1.40]"	1	0.01
K13953	adhP	"alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"	5	0.03
K01997	livH	"branched-chain amino acid transport system permease protein"	10	0.05
K00425	cydA	"cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]"	3	0.02
K16899	addB	"ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]"	4	0.02
K05311	cggR	"central glycolytic genes regulator"	1	0.01
K07277	SAM50, TOB55, bamA	"outer membrane protein insertion porin family"	2	0.01
K04773	sppA	"protease IV [EC:3.4.21.-]"	2	0.01
K03320	amt, AMT, MEP	"ammonium transporter, Amt family"	1	0.01
K01754	E4.3.1.19, ilvA, tdcB	"threonine dehydratase [EC:4.3.1.19]"	8	0.04
K03937	NDUFS4	"NADH dehydrogenase (ubiquinone) Fe-S protein 4"	1	0.01
K18138	acrB, mexB, adeJ, smeE, mtrD, cmeB	"multidrug efflux pump"	11	0.06
K07710	atoS	"two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]"	42	0.23
K00860	cysC	"adenylylsulfate kinase [EC:2.7.1.25]"	9	0.05
K08994	yneE, BEST	"ion channel-forming bestrophin family protein"	1	0.01
K21525	Gp3	"endonuclease I [EC:3.1.21.2]"	2	0.01
K05664	ABCB11	"ATP-binding cassette, subfamily B (MDR/TAP), member 11"	1	0.01
K01962	accA	"acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]"	1	0.01
K00656	E2.3.1.54, pflD	"formate C-acetyltransferase [EC:2.3.1.54]"	1	0.01
K13895	yejE	"microcin C transport system permease protein"	1	0.01
K06351	kipI	"inhibitor of KinA"	1	0.01
K02990	RP-S6, MRPS6, rpsF	"small subunit ribosomal protein S6"	1	0.01
K02499	yabN	"tetrapyrrole methylase family protein / MazG family protein"	1	0.01
K01419	hslV, clpQ	"ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"	3	0.02
K01911	menE	"O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26]"	1	0.01
K01924	murC	"UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]"	10	0.05
K03837	sdaC	"serine transporter"	2	0.01
K00240	sdhB, frdB	"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"	4	0.02
K01730	ogl	"oligogalacturonide lyase [EC:4.2.2.6]"	2	0.01
K03611	dsbB	"disulfide bond formation protein DsbB"	2	0.01
K02489	hk1	"two-component system, glycerol uptake and utilization sensor kinase [EC:2.7.13.3]"	33	0.18
K04079	HSP90A, htpG	"molecular chaperone HtpG"	1	0.01
K13896	yejF	"microcin C transport system ATP-binding protein"	3	0.02
K02037	pstC	"phosphate transport system permease protein"	2	0.01
K14696	SLC30A9, ZNT9	"solute carrier family 30 (zinc transporter), member 9"	1	0.01
K12814	PRP2	"pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 [EC:3.6.4.13]"	2	0.01
K00410	fbcH	"ubiquinol-cytochrome c reductase cytochrome b/c1 subunit"	3	0.02
K12818	DHX8, PRP22	"ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]"	6	0.03
K07152	SCO1	"protein SCO1"	1	0.01
K03215	rumA	"23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]"	4	0.02
K12368	dppA	"dipeptide transport system substrate-binding protein"	1	0.01
K01790	rfbC, rmlC	"dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"	1	0.01
K20444	rfbC	"O-antigen biosynthesis protein [EC:2.4.1.-]"	1	0.01
K12614	DDX6, RCK, DHH1	"ATP-dependent RNA helicase DDX6/DHH1 [EC:3.6.4.13]"	5	0.03
K07674	narQ	"two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]"	16	0.09
K00958	sat, met3	"sulfate adenylyltransferase [EC:2.7.7.4]"	4	0.02
K15778	pmm-pgm	"phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"	1	0.01
K02412	fliI	"flagellum-specific ATP synthase [EC:7.4.2.8]"	2	0.01
K01929	murF	"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]"	3	0.02
K01687	ilvD	"dihydroxy-acid dehydratase [EC:4.2.1.9]"	5	0.03
K05366	mrcA	"penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]"	5	0.03
K02113	ATPF1D, atpH	"F-type H+-transporting ATPase subunit delta"	2	0.01
K12835	DDX42, SF3B125	"ATP-dependent RNA helicase DDX42 [EC:3.6.4.13]"	5	0.03
K07797	emrK	"multidrug resistance protein K"	1	0.01
K02066	mlaE, linK	"phospholipid/cholesterol/gamma-HCH transport system permease protein"	2	0.01
K04066	priA	"primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]"	4	0.02
K02332	POLG	"DNA polymerase gamma 1 [EC:2.7.7.7]"	3	0.02
K01703	leuC, IPMI-L	"3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"	3	0.02
K02836	prfB	"peptide chain release factor 2"	2	0.01
K01447	xlyAB	"N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"	30	0.16
K01738	cysK	"cysteine synthase [EC:2.5.1.47]"	3	0.02
K21757	benM	"LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes"	1	0.01
K03924	moxR	"MoxR-like ATPase [EC:3.6.3.-]"	2	0.01
K07697	kinB	"two-component system, sporulation sensor kinase B [EC:2.7.13.3]"	7	0.04
K01515	nudF	"ADP-ribose pyrophosphatase [EC:3.6.1.13]"	2	0.01
K02313	dnaA	"chromosomal replication initiator protein"	4	0.02
K02501	hisH	"imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]"	3	0.02
K00220	tyrC	"cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]"	1	0.01
K21039	int	"enterobacteria phage integrase [EC:2.7.7.- 3.1.-.-]"	1	0.01
K14581	nahAa, nagAa, ndoR, nbzAa, dntAa	"naphthalene 1,2-dioxygenase ferredoxin reductase component [EC:1.18.1.7]"	1	0.01
K01996	livF	"branched-chain amino acid transport system ATP-binding protein"	85	0.47
K03077	araD, ulaF, sgaE, sgbE	"L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"	1	0.01
K11594	DDX3X, bel	"ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]"	5	0.03
K01665	pabB	"para-aminobenzoate synthetase component I [EC:2.6.1.85]"	9	0.05
K11191	PTS-Mur-EIIB, murP	"PTS system, N-acetylmuramic acid-specific IIB component [EC:2.7.1.192]"	12	0.07
K01657	trpE	"anthranilate synthase component I [EC:4.1.3.27]"	9	0.05
K03212	rumB	"23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]"	1	0.01
K05301	E1.8.2.1	"sulfite dehydrogenase [EC:1.8.2.1]"	1	0.01
K04757	rsbW	"serine/threonine-protein kinase RsbW [EC:2.7.11.1]"	41	0.23
K04044	hscA	"molecular chaperone HscA"	2	0.01
K03177	truB, PUS4, TRUB1	"tRNA pseudouridine55 synthase [EC:5.4.99.25]"	3	0.02
K02232	cobQ, cbiP	"adenosylcobyric acid synthase [EC:6.3.5.10]"	1	0.01
K04770	lonH	"Lon-like ATP-dependent protease [EC:3.4.21.-]"	1	0.01
K12974	lpxP	"KDO2-lipid IV(A) palmitoleoyltransferase [EC:2.3.1.242]"	1	0.01
K00868	pdxK, pdxY	"pyridoxine kinase [EC:2.7.1.35]"	1	0.01
K11737	cycA	"D-serine/D-alanine/glycine transporter"	2	0.01
K02155	ATPeV0C, ATP6L	"V-type H+-transporting ATPase 16kDa proteolipid subunit"	2	0.01
K15468	pksS	"cytochrome P450 PksS"	1	0.01
K01741	E4.2.99.18	"DNA-(apurinic or apyrimidinic site) lyase [EC:4.2.99.18]"	2	0.01
K03076	secY	"preprotein translocase subunit SecY"	2	0.01
K01141	sbcB, exoI	"exodeoxyribonuclease I [EC:3.1.11.1]"	2	0.01
K02884	RP-L19, MRPL19, rplS	"large subunit ribosomal protein L19"	2	0.01
K06919	K06919	"putative DNA primase/helicase"	4	0.02
K03319	TC.DASS	"divalent anion:Na+ symporter, DASS family"	6	0.03
K01839	deoB	"phosphopentomutase [EC:5.4.2.7]"	3	0.02
K10125	dctB	"two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]"	36	0.20
K01895	ACSS1_2, acs	"acetyl-CoA synthetase [EC:6.2.1.1]"	3	0.02
K11942	icmF	"isobutyryl-CoA mutase [EC:5.4.99.13]"	3	0.02
K01424	E3.5.1.1, ansA, ansB	"L-asparaginase [EC:3.5.1.1]"	1	0.01
K21686	prpR	"XRE family transcriptional regulator, fatty acid utilization regulator"	1	0.01
K00336	nuoG	"NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]"	4	0.02
K06148	ABCC-BAC	"ATP-binding cassette, subfamily C, bacterial"	1	0.01
K01483	allA	"ureidoglycolate lyase [EC:4.3.2.3]"	1	0.01
K01129	dgt	"dGTPase [EC:3.1.5.1]"	2	0.01
K10038	glnQ	"glutamine transport system ATP-binding protein [EC:7.4.2.1]"	2	0.01
K02647	cdaR	"carbohydrate diacid regulator"	1	0.01
K19789	radD	"DNA repair protein RadD"	3	0.02
K07497	K07497	"putative transposase"	3	0.02
K01919	gshA	"glutamate--cysteine ligase [EC:6.3.2.2]"	6	0.03
K09747	K09747	"uncharacterized protein"	1	0.01
K00311	ETFDH	"electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]"	7	0.04
K00946	thiL	"thiamine-monophosphate kinase [EC:2.7.4.16]"	1	0.01
K07456	mutS2	"DNA mismatch repair protein MutS2"	2	0.01
K02897	RP-L25, rplY	"large subunit ribosomal protein L25"	1	0.01
K13951	ADH1_7	"alcohol dehydrogenase 1/7 [EC:1.1.1.1]"	2	0.01
K06155	gntT	"Gnt-I system high-affinity gluconate transporter"	1	0.01
K13589	cpdR	"two-component system, cell cycle response regulator CpdR"	2	0.01
K02469	gyrA	"DNA gyrase subunit A [EC:5.6.2.2]"	5	0.03
K01776	murI	"glutamate racemase [EC:5.1.1.3]"	12	0.07
K03496	parA, soj	"chromosome partitioning protein"	24	0.13
K07788	mdtB	"multidrug efflux pump"	1	0.01
K00040	uxuB	"fructuronate reductase [EC:1.1.1.57]"	1	0.01
K02963	RP-S18, MRPS18, rpsR	"small subunit ribosomal protein S18"	2	0.01
K00882	fruK	"1-phosphofructokinase [EC:2.7.1.56]"	2	0.01
K00789	metK	"S-adenosylmethionine synthetase [EC:2.5.1.6]"	5	0.03
K05833	ABC.X4.A	"putative ABC transport system ATP-binding protein"	1	0.01
K13038	coaBC, dfp	"phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"	3	0.02
K03589	ftsQ	"cell division protein FtsQ"	1	0.01
K01587	PAICS	"phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6]"	2	0.01
K01091	gph	"phosphoglycolate phosphatase [EC:3.1.3.18]"	1	0.01
K00761	upp, UPRT	"uracil phosphoribosyltransferase [EC:2.4.2.9]"	4	0.02
K01814	hisA	"phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]"	3	0.02
K15736	lhgO	"L-2-hydroxyglutarate oxidase [EC:1.1.5.-]"	1	0.01
K02036	pstB	"phosphate transport system ATP-binding protein [EC:7.3.2.1]"	3	0.02
K00616	E2.2.1.2, talA, talB	"transaldolase [EC:2.2.1.2]"	2	0.01
K13503	trpEG	"anthranilate synthase [EC:4.1.3.27]"	3	0.02
K01890	FARSB, pheT	"phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]"	10	0.05
K03852	xsc	"sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]"	2	0.01
K07056	rsmI	"16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]"	6	0.03
K00936	pdtaS	"two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]"	24	0.13
K07243	FTR, FTH1, efeU	"high-affinity iron transporter"	1	0.01
K04565	SOD1	"superoxide dismutase, Cu-Zn family [EC:1.15.1.1]"	1	0.01
K00156	poxB	"pyruvate dehydrogenase (quinone) [EC:1.2.5.1]"	1	0.01
K16264	czcD, zitB	"cobalt-zinc-cadmium efflux system protein"	1	0.01
K03781	katE, CAT, catB, srpA	"catalase [EC:1.11.1.6]"	3	0.02
K21449	ata, sadA, emaA	"trimeric autotransporter adhesin"	1	0.01
K03752	mobA	"molybdenum cofactor guanylyltransferase [EC:2.7.7.77]"	1	0.01
K11142	LAP3	"cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]"	8	0.04
K04486	E3.1.3.15B	"histidinol-phosphatase (PHP family) [EC:3.1.3.15]"	3	0.02
K01968	E6.4.1.4A	"3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]"	9	0.05
K18843	hicB	"antitoxin HicB"	2	0.01
K03785	aroD	"3-dehydroquinate dehydratase I [EC:4.2.1.10]"	2	0.01
K07702	dpiA, citB	"two-component system, CitB family, response regulator CitB"	1	0.01
K07336	K07336	"PKHD-type hydroxylase [EC:1.14.11.-]"	1	0.01
K00077	panE, apbA	"2-dehydropantoate 2-reductase [EC:1.1.1.169]"	2	0.01
K15585	nikB, cntB	"nickel transport system permease protein"	2	0.01
K10907	K10907	"aminotransferase [EC:2.6.1.-]"	62	0.34
K14260	alaA	"alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]"	62	0.34
K03839	fldA, nifF, isiB	"flavodoxin I"	1	0.01
K00360	nasB	"assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]"	1	0.01
K03528	zipA	"cell division protein ZipA"	1	0.01
K11476	K11476, gntR	"GntR family transcriptional regulator, gluconate operon transcriptional repressor"	1	0.01
K01785	galM, GALM	"aldose 1-epimerase [EC:5.1.3.3]"	1	0.01
K11614	yufL, malK	"two-component system, CitB family, sensor histidine kinase MalK [EC:2.7.13.3]"	1	0.01
K01664	pabA	"para-aminobenzoate synthetase component II [EC:2.6.1.85]"	9	0.05
K08296	sixA	"phosphohistidine phosphatase [EC:3.1.3.-]"	1	0.01
K00326	E1.6.2.2	"cytochrome-b5 reductase [EC:1.6.2.2]"	1	0.01
K06891	clpS	"ATP-dependent Clp protease adaptor protein ClpS"	1	0.01
K01899	LSC1	"succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]"	1	0.01
K05896	scpA	"segregation and condensation protein A"	1	0.01
K03665	hflX	"GTPase"	2	0.01
K08169	yebQ	"MFS transporter, DHA2 family, multidrug resistance protein"	10	0.05
K03703	uvrC	"excinuclease ABC subunit C"	9	0.05
K03976	ybaK, ebsC	"Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]"	1	0.01
K21836	dld	"D-lactate dehydrogenase (acceptor) [EC:1.1.99.6]"	1	0.01
K00981	E2.7.7.41, CDS1, CDS2, cdsA	"phosphatidate cytidylyltransferase [EC:2.7.7.41]"	3	0.02
K02067	mlaD, linM	"phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein"	2	0.01
K15256	cmoA	"tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]"	1	0.01
K03272	gmhC, hldE, waaE, rfaE	"D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]"	3	0.02
K03550	ruvA	"holliday junction DNA helicase RuvA [EC:3.6.4.12]"	2	0.01
K21948	otnK	"3-dehydrotetronate 4-kinase [EC:2.7.1.217]"	3	0.02
K16911	DDX21	"ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]"	1	0.01
K02802	PTS-Nag-EIIA, nagE	"PTS system, N-acetylglucosamine-specific IIA component [EC:2.7.1.193]"	12	0.07
K00324	pntA	"H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]"	3	0.02
K19697	pduW	"propionate kinase [EC:2.7.2.15]"	1	0.01
K00864	glpK, GK	"glycerol kinase [EC:2.7.1.30]"	6	0.03
K07241	hoxN, nixA	"nickel/cobalt transporter (NiCoT) family protein"	2	0.01
K05350	bglB	"beta-glucosidase [EC:3.2.1.21]"	1	0.01
K02886	RP-L2, MRPL2, rplB	"large subunit ribosomal protein L2"	2	0.01
K19235	ybiS	"L,D-transpeptidase YbiS"	1	0.01
K00928	lysC	"aspartate kinase [EC:2.7.2.4]"	9	0.05
K16066	ydfG	"3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]"	1	0.01
K11640	natK	"two-component system, LytTR family, sensor histidine kinase NatK [EC:2.7.13.3]"	32	0.18
K21531	gp18	"tail sheath protein"	1	0.01
K00748	lpxB	"lipid-A-disaccharide synthase [EC:2.4.1.182]"	2	0.01
K01439	dapE	"succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]"	3	0.02
K06180	rluD	"23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]"	3	0.02
K14208	XPNPEP2	"Xaa-Pro aminopeptidase 2 [EC:3.4.11.9]"	1	0.01
K03101	lspA	"signal peptidase II [EC:3.4.23.36]"	2	0.01
K12983	waaV	"UDP-glucose:(glucosyl)LPS beta-1,3-glucosyltransferase [EC:2.4.1.-]"	3	0.02
K00796	folP	"dihydropteroate synthase [EC:2.5.1.15]"	3	0.02
K02200	ccmH	"cytochrome c-type biogenesis protein CcmH"	1	0.01
K05802	mscK, kefA, aefA	"potassium-dependent mechanosensitive channel"	1	0.01
K01783	rpe, RPE	"ribulose-phosphate 3-epimerase [EC:5.1.3.1]"	1	0.01
K02115	ATPF1G, atpG	"F-type H+-transporting ATPase subunit gamma"	3	0.02
K02926	RP-L4, MRPL4, rplD	"large subunit ribosomal protein L4"	1	0.01
K00430	E1.11.1.7	"peroxidase [EC:1.11.1.7]"	4	0.02
K02809	PTS-Scr-EIIB, scrA, sacP, sacX, ptsS	"PTS system, sucrose-specific IIB component [EC:2.7.1.211]"	12	0.07
K09571	FKBP4_5	"FK506-binding protein 4/5 [EC:5.2.1.8]"	2	0.01
K07669	mprA	"two-component system, OmpR family, response regulator MprA"	1	0.01
K00405	ccoO	"cytochrome c oxidase cbb3-type subunit II"	1	0.01
K02939	RP-L9, MRPL9, rplI	"large subunit ribosomal protein L9"	2	0.01
K06217	phoH, phoL	"phosphate starvation-inducible protein PhoH and related proteins"	3	0.02
K00088	IMPDH, guaB	"IMP dehydrogenase [EC:1.1.1.205]"	3	0.02
K13918	gudX	"glucarate dehydratase-related protein"	2	0.01
K03844	ALG11	"alpha-1,2-mannosyltransferase [EC:2.4.1.131]"	1	0.01
K07184	ygiM	"SH3 domain protein"	1	0.01
K08279	caiE	"carnitine operon protein CaiE"	1	0.01
K12815	DHX38, PRP16	"pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]"	3	0.02
K13015	wbpA	"UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]"	1	0.01
K00176	korD, oorD	"2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"	7	0.04
K04518	pheA2	"prephenate dehydratase [EC:4.2.1.51]"	5	0.03
K00540	fqr	"F420H(2)-dependent quinone reductase [EC:1.1.98.-]"	3	0.02
K04719	bluB	"5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]"	2	0.01
K03378	morA	"morphine 6-dehydrogenase [EC:1.1.1.218]"	1	0.01
K07514	EHHADH	"enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]"	1	0.01
K10807	RRM1	"ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]"	14	0.08
K12984	waaE, kdtX	"(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]"	1	0.01
K07258	dacC, dacA, dacD	"serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"	10	0.05
K13937	H6PD	"hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]"	3	0.02
K01807	rpiA	"ribose 5-phosphate isomerase A [EC:5.3.1.6]"	2	0.01
K02791	PTS-MalGlc-EIIC, malX	"PTS system, maltose/glucose-specific IIC component"	11	0.06
K13980	ADH4	"alcohol dehydrogenase 4 [EC:1.1.1.1]"	2	0.01
K02906	RP-L3, MRPL3, rplC	"large subunit ribosomal protein L3"	2	0.01
K04763	xerD	"integrase/recombinase XerD"	2	0.01
K00945	cmk	"CMP/dCMP kinase [EC:2.7.4.25]"	2	0.01
K05934	E2.1.1.131, cobJ, cbiH	"precorrin-3B C17-methyltransferase [EC:2.1.1.131]"	2	0.01
K07708	glnL, ntrB	"two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"	35	0.19
K00059	fabG, OAR1	"3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	1	0.01
K14742	tsaB	"tRNA threonylcarbamoyladenosine biosynthesis protein TsaB"	1	0.01
K06902	UMF1	"MFS transporter, UMF1 family"	1	0.01
K02230	cobN	"cobaltochelatase CobN [EC:6.6.1.2]"	2	0.01
K01466	allB	"allantoinase [EC:3.5.2.5]"	1	0.01
K03515	REV1	"DNA repair protein REV1 [EC:2.7.7.-]"	4	0.02
K01159	ruvC	"crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]"	1	0.01
K04771	degP, htrA	"serine protease Do [EC:3.4.21.107]"	8	0.04
K04042	glmU	"bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]"	17	0.09
K18890	mdlB, smdB	"ATP-binding cassette, subfamily B, multidrug efflux pump"	2	0.01
K12820	DHX15, PRP43	"pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]"	1	0.01
K02045	cysA	"sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]"	75	0.41
K03466	ftsK, spoIIIE	"DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"	8	0.04
K14170	pheA	"chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]"	4	0.02
K01990	ABC-2.A	"ABC-2 type transport system ATP-binding protein"	15	0.08
K13688	chvB, cgs, ndvB	"cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]"	9	0.05
K03439	trmB, METTL1, TRM8	"tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]"	1	0.01
